set T := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ;

set i := 0 ;

param capacity := 0 10 ;

param power := 0 20 ;

param l_SOC := 0 0.2 ;

param u_SOC := 0 1 ;

param efficiency_c := 0 0.95 ;

param efficiency_d := 0 0.85 ;

param l_pred :=
0     0.0
1     0.0
2     0.0
3     0.0
4     0.0
5     0.0
6     0.0
7     0.0
8     0.0
9     0.0
10    0.0
11    0.0
12    0.0
13    0.0
14    0.0
15    0.0
16    0.0
17    0.0
18    0.0
19    0.0
20    0.0
21    0.0
22    0.0
23    0.0 ;

param p_da_pred :=
 0     55.08
1     54.77
2     52.98
3     48.57
4     46.98
5     46.96
6     49.70
7     57.91
8     58.46
9     62.28
10    65.18
11    64.91
12    63.56
13    62.96
14    61.79
15    59.16
16    59.80
17    75.59
18    87.82
19    76.45
20    70.47
21    61.32
22    57.97
23    53.07;

param gradient := 0.004 ;

param alpha := 0.95 ;

param beta := 5;

